vehicleId,lat,lng,dateStored,velocity,odometer,engineVoltage,dateStoredHuman,dateOnlyStoredHuman,timeOnly,orientation
15,38.0347733,23.7479866,1716384539000,6.0,0.0,0.0,2024-05-22 16:28:59,2024-05-22,16:28:59,South
15,38.0346816,23.7480283,1716384563000,6.0,0.0,0.0,2024-05-22 16:29:23,2024-05-22,16:29:23,Southeast
15,38.0346166,23.7481066,1716384581000,0.0,0.0,0.0,2024-05-22 16:29:41,2024-05-22,16:29:41,Northwest
15,38.0348833,23.7478633,1716384615000,0.0,0.0,0.0,2024-05-22 16:30:15,2024-05-22,16:30:15,Southeast
15,38.0347416,23.7480283,1716384647000,4.0,0.0,0.0,2024-05-22 16:30:47,2024-05-22,16:30:47,East
15,38.0347283,23.7480816,1716384648000,0.0,0.0,0.0,2024-05-22 16:30:48,2024-05-22,16:30:48,Southeast
15,38.0345333,23.7482716,1716384715000,0.0,0.0,0.0,2024-05-22 16:31:55,2024-05-22,16:31:55,North
15,38.0346866,23.7482016,1716384727000,6.0,0.0,0.0,2024-05-22 16:32:07,2024-05-22,16:32:07,West
15,38.0346766,23.7480433,1716384810000,0.0,0.0,0.0,2024-05-22 16:33:30,2024-05-22,16:33:30,Northwest
15,38.03474,23.7479716,1716384820000,9.0,0.0,0.0,2024-05-22 16:33:40,2024-05-22,16:33:40,West
15,38.03475,23.747935,1716384822000,8.0,0.0,0.0,2024-05-22 16:33:42,2024-05-22,16:33:42,Northwest
15,38.03478,23.7479083,1716384835000,15.0,0.0,0.0,2024-05-22 16:33:55,2024-05-22,16:33:55,Northwest
15,38.0349033,23.7477933,1716384863000,0.0,0.0,0.0,2024-05-22 16:34:23,2024-05-22,16:34:23,North
15,38.0351166,23.7477183,1716386626000,26.0,0.0,0.0,2024-05-22 17:03:46,2024-05-22,17:03:46,Southwest
15,38.035005,23.74752,1716386631000,0.0,0.0,0.0,2024-05-22 17:03:51,2024-05-22,17:03:51,Southwest
15,37.5107499,22.3862716,1728947727000,0.0,0.0,5.271,2024-10-15 02:15:27,2024-10-15,02:15:27,West
15,37.5108233,22.385855,1728947728000,16.0,0.0,5.271,2024-10-15 02:15:28,2024-10-15,02:15:28,West
15,37.5108716,22.3856133,1728947739000,14.0,0.0,5.276,2024-10-15 02:15:39,2024-10-15,02:15:39,Southeast
15,37.5108583,22.385625,1728947748000,13.0,0.0,5.277,2024-10-15 02:15:48,2024-10-15,02:15:48,West
15,37.5108483,22.3853816,1728947753000,24.0,0.0,5.273,2024-10-15 02:15:53,2024-10-15,02:15:53,West
15,37.510865,22.385315,1728947757000,19.0,0.0,5.272,2024-10-15 02:15:57,2024-10-15,02:15:57,East
15,37.510935,22.38654,1729016360000,17.0,0.0,5.258,2024-10-15 21:19:20,2024-10-15,21:19:20,Southwest
15,37.510885,22.3865099,1729016363000,9.0,0.0,5.256,2024-10-15 21:19:23,2024-10-15,21:19:23,Southeast
15,37.51083,22.3865483,1729016370000,10.0,0.0,5.253,2024-10-15 21:19:30,2024-10-15,21:19:30,Northwest
15,37.5108349,22.386535,1729016372000,14.0,0.0,5.255,2024-10-15 21:19:32,2024-10-15,21:19:32,West
15,37.510845,22.3862916,1729016380000,20.0,0.0,5.255,2024-10-15 21:19:40,2024-10-15,21:19:40,West
15,37.51076,22.386025,1729016385000,25.0,0.0,5.257,2024-10-15 21:19:45,2024-10-15,21:19:45,Southwest
15,37.51064,22.3858216,1729016388000,27.0,0.0,5.255,2024-10-15 21:19:48,2024-10-15,21:19:48,East
15,37.5103233,22.3870316,1729023629000,22.0,0.0,5.255,2024-10-15 23:20:29,2024-10-15,23:20:29,West
15,37.5103249,22.3867733,1729023632000,20.0,0.0,5.257,2024-10-15 23:20:32,2024-10-15,23:20:32,Northwest
15,37.5104983,22.3864733,1729023634000,9.0,0.0,5.253,2024-10-15 23:20:34,2024-10-15,23:20:34,Northwest
15,37.51059,22.3862716,1729023636000,8.0,0.0,5.251,2024-10-15 23:20:36,2024-10-15,23:20:36,East
15,37.5104816,22.3866183,1729023644000,17.0,0.0,5.256,2024-10-15 23:20:44,2024-10-15,23:20:44,Southeast
15,37.51041,22.38668,1729023650000,31.0,0.0,5.235,2024-10-15 23:20:50,2024-10-15,23:20:50,Northwest
15,37.511205,22.3858416,1729031242000,30.0,0.0,5.258,2024-10-16 01:27:22,2024-10-16,01:27:22,West
15,37.5112483,22.3855916,1729031244000,34.0,0.0,5.257,2024-10-16 01:27:24,2024-10-16,01:27:24,Northwest
15,37.51135,22.3853399,1729031247000,28.0,0.0,5.248,2024-10-16 01:27:27,2024-10-16,01:27:27,Southeast
15,37.5112183,22.3854733,1729031256000,9.0,0.0,5.256,2024-10-16 01:27:36,2024-10-16,01:27:36,East
15,37.5112233,22.3854916,1729031259000,7.0,0.0,5.255,2024-10-16 01:27:39,2024-10-16,01:27:39,East
15,37.5112033,22.3856383,1729031266000,6.0,0.0,5.249,2024-10-16 01:27:46,2024-10-16,01:27:46,Southeast
15,37.5111766,22.3856716,1729031270000,7.0,0.0,5.248,2024-10-16 01:27:50,2024-10-16,01:27:50,Southwest
15,37.510875,22.3852,1729043267000,8.0,0.0,5.253,2024-10-16 04:47:47,2024-10-16,04:47:47,West
15,37.5108816,22.3851783,1729043286000,0.0,0.0,5.25,2024-10-16 04:48:06,2024-10-16,04:48:06,East
