vehicleId,lat,lng,dateStored,velocity,odometer,engineVoltage
3,38.0344966,23.7483016,1716383019000,0.0,0.0,0.0
3,38.03446,23.74828,1716383261000,0.0,0.0,0.0
3,38.0345833,23.7481766,1716383343000,0.0,0.0,0.0
3,38.0346233,23.7480866,1716383681000,6.0,0.0,0.0
3,38.0346833,23.7480783,1716383704000,0.0,0.0,0.0
3,38.0346733,23.7480733,1716383729000,7.0,0.0,0.0
3,38.0345216,23.7482449,1716383734000,15.0,0.0,0.0
3,38.0343883,23.7484233,1716383742000,4.0,0.0,0.0
3,38.03444,23.7483333,1716383744000,6.0,0.0,0.0
3,38.0344783,23.74828,1716383746000,7.0,0.0,0.0
3,38.0345783,23.7482033,1716383761000,7.0,0.0,0.0
3,38.0345699,23.7482283,1716383767000,8.0,0.0,0.0
3,38.0345533,23.74828,1716383775000,7.0,0.0,0.0
3,38.0346533,23.7481383,1716383779000,7.0,0.0,0.0
3,38.0347183,23.7480216,1716383788000,13.0,0.0,0.0
3,38.0348366,23.74783,1716383793000,11.0,0.0,0.0
3,38.0349133,23.7476949,1716383802000,9.0,0.0,0.0
3,38.0349916,23.7476483,1716383810000,6.0,0.0,0.0
3,38.0350633,23.74757,1716383813000,13.0,0.0,0.0
3,38.035095,23.7474966,1716383815000,9.0,0.0,0.0
3,38.0350383,23.7475533,1716383819000,7.0,0.0,0.0
3,38.0350066,23.7476116,1716383821000,10.0,0.0,0.0
3,38.0346816,23.7481366,1716383858000,7.0,0.0,0.0
3,38.0346983,23.7480583,1716383868000,6.0,0.0,0.0
3,38.034825,23.7478899,1716383877000,12.0,0.0,0.0
3,38.0348766,23.7478283,1716383897000,6.0,0.0,0.0
3,38.0347666,23.7479083,1716383923000,6.0,0.0,0.0
3,38.0346683,23.7480199,1716383984000,6.0,0.0,0.0
3,38.0346599,23.7480783,1716383986000,7.0,0.0,0.0
3,38.0345966,23.748135,1716383991000,7.0,0.0,0.0
3,38.0345666,23.74825,1716383998000,7.0,0.0,0.0
3,38.0346133,23.7481699,1716383999000,10.0,0.0,0.0
3,38.0347766,23.7479933,1716384002000,22.0,0.0,0.0
3,38.0349266,23.7477733,1716384013000,26.0,0.0,0.0
3,38.0350783,23.7475733,1716384016000,29.0,0.0,0.0
3,38.0352116,23.7473966,1716384019000,25.0,0.0,0.0
3,38.0350816,23.747615,1716384029000,11.0,0.0,0.0
3,38.0349566,23.7478566,1716384033000,4.0,0.0,0.0
3,38.0349699,23.7478466,1716384043000,13.0,0.0,0.0
3,38.0348766,23.7478683,1716384048000,7.0,0.0,0.0
3,38.0348333,23.74782,1716384051000,6.0,0.0,0.0
3,38.0347983,23.7479233,1716384058000,7.0,0.0,0.0
3,38.0347416,23.74803,1716384063000,6.0,0.0,0.0
3,38.034675,23.7480883,1716384071000,0.0,0.0,0.0
3,38.03451,23.748325,1716384098000,19.0,0.0,0.0
3,38.0344149,23.7484466,1716384107000,13.0,0.0,0.0
3,38.0343866,23.7484683,1716384110000,6.0,0.0,0.0
3,38.0343816,23.7484999,1716384113000,10.0,0.0,0.0
3,38.0344033,23.7484833,1716384119000,7.0,0.0,0.0
3,38.03445,23.7483949,1716384127000,15.0,0.0,0.0
3,38.0344349,23.7482866,1716384487000,6.0,0.0,0.0
3,38.034375,23.7482966,1716384494000,8.0,0.0,0.0
3,38.03453,23.7481583,1716384509000,11.0,0.0,0.0
3,38.0345516,23.7481899,1716384521000,6.0,0.0,0.0
3,38.034615,23.7480966,1716384533000,6.0,0.0,0.0
3,38.0346683,23.7480233,1716384541000,7.0,0.0,0.0
3,38.0346583,23.7479533,1716384544000,6.0,0.0,0.0
3,38.034705,23.7477166,1716384553000,5.0,0.0,0.0
3,38.0347316,23.7477183,1716384562000,6.0,0.0,0.0
3,38.034675,23.7477816,1716384568000,0.0,0.0,0.0
3,38.034665,23.7481699,1716384603000,0.0,0.0,0.0
3,38.0346083,23.7483533,1716384633000,0.0,0.0,0.0
3,38.0346866,23.7481633,1716384719000,9.0,0.0,0.0
3,38.03463,23.7482066,1716384752000,0.0,0.0,0.0
3,38.0346599,23.7481449,1716384764000,10.0,0.0,0.0
3,38.0346699,23.7480416,1716384767000,7.0,0.0,0.0
3,38.034665,23.7479883,1716384769000,6.0,0.0,0.0
3,38.0346599,23.74797,1716384770000,6.0,0.0,0.0
3,38.0346566,23.7479383,1716384776000,6.0,0.0,0.0
3,38.0344566,23.7480483,1716384793000,0.0,0.0,0.0
3,38.03446,23.7480333,1716384797000,6.0,0.0,0.0
3,38.0345933,23.748015,1716384812000,0.0,0.0,0.0
3,38.0347916,23.7479933,1716384833000,5.0,0.0,0.0
3,38.03499,23.7479066,1716384840000,3.0,0.0,0.0
3,38.0351199,23.7476316,1716384845000,3.0,0.0,0.0
3,38.034935,23.7476316,1716384854000,4.0,0.0,0.0
3,38.0350116,23.74741,1716384865000,0.0,0.0,0.0
3,38.0351333,23.7473733,1716384878000,6.0,0.0,0.0
3,38.0351866,23.7473533,1716384887000,0.0,0.0,0.0
