name,id,type,highway,name_en,coordinates
Δραγατσανίου,221671536,way,residential,Δραγατσανίου,"[{'lat': 37.5040345, 'lon': 22.3598047}, {'lat': 37.504149, 'lon': 22.3594938}, {'lat': 37.5042022, 'lon': 22.3593476}, {'lat': 37.5042724, 'lon': 22.3591867}, {'lat': 37.5043373, 'lon': 22.359007}, {'lat': 37.5043767, 'lon': 22.358889}, {'lat': 37.5044203, 'lon': 22.3587361}, {'lat': 37.5044554, 'lon': 22.3586409}, {'lat': 37.5045044, 'lon': 22.3585322}, {'lat': 37.5046874, 'lon': 22.3582493}, {'lat': 37.5048959, 'lon': 22.3579703}, {'lat': 37.5049565, 'lon': 22.3578644}, {'lat': 37.5049725, 'lon': 22.357804}, {'lat': 37.5049736, 'lon': 22.3577651}, {'lat': 37.5049725, 'lon': 22.357733}, {'lat': 37.5049342, 'lon': 22.3575921}, {'lat': 37.5049065, 'lon': 22.3574299}, {'lat': 37.5048996, 'lon': 22.3573876}, {'lat': 37.5048975, 'lon': 22.3573501}, {'lat': 37.5049023, 'lon': 22.3573172}, {'lat': 37.5049119, 'lon': 22.3572817}, {'lat': 37.5049331, 'lon': 22.3572569}, {'lat': 37.5049943, 'lon': 22.3572039}, {'lat': 37.5051629, 'lon': 22.3570986}, {'lat': 37.5052278, 'lon': 22.3570503}, {'lat': 37.5053363, 'lon': 22.3569296}, {'lat': 37.505431, 'lon': 22.3567848}, {'lat': 37.5055481, 'lon': 22.3566413}]"
Δόξας,378887235,way,residential,Δόξας,"[{'lat': 37.5136204, 'lon': 22.363385}, {'lat': 37.5145581, 'lon': 22.3630914}, {'lat': 37.5148637, 'lon': 22.3629775}]"
Εθνικής Αντιστάσεως,371542666,way,pedestrian,Εθνικής Αντιστάσεως,"[{'lat': 37.5132534, 'lon': 22.3739773}, {'lat': 37.5126535, 'lon': 22.3736688}, {'lat': 37.5121712, 'lon': 22.3734135}, {'lat': 37.5116318, 'lon': 22.3731037}, {'lat': 37.5112978, 'lon': 22.3729267}, {'lat': 37.5110065, 'lon': 22.3727916}, {'lat': 37.5108174, 'lon': 22.372711}, {'lat': 37.5108174, 'lon': 22.372711}, {'lat': 37.5106978, 'lon': 22.372653}, {'lat': 37.5105086, 'lon': 22.372555}, {'lat': 37.5139773, 'lon': 22.3743739}, {'lat': 37.5132981, 'lon': 22.3740017}, {'lat': 37.5132534, 'lon': 22.3739773}]"
Εθνομαρτύρων,424116879,way,secondary,Εθνομαρτύρων,"[{'lat': 37.5108265, 'lon': 22.3712428}, {'lat': 37.511142, 'lon': 22.370702}, {'lat': 37.5112775, 'lon': 22.370466}, {'lat': 37.5113811, 'lon': 22.3702793}, {'lat': 37.5114529, 'lon': 22.3701489}, {'lat': 37.5103265, 'lon': 22.3721133}, {'lat': 37.5103649, 'lon': 22.3720406}, {'lat': 37.5105112, 'lon': 22.3717633}, {'lat': 37.5105639, 'lon': 22.3716667}, {'lat': 37.5108265, 'lon': 22.3712428}]"
Ελευθερίου Βενιζέλου,172461954,way,primary,Ελευθερίου Βενιζέλου,"[{'lat': 37.5096336, 'lon': 22.3814203}, {'lat': 37.5096356, 'lon': 22.3813851}, {'lat': 37.5096383, 'lon': 22.3812731}, {'lat': 37.5096378, 'lon': 22.3811686}, {'lat': 37.5096352, 'lon': 22.3810571}, {'lat': 37.5096346, 'lon': 22.3810115}, {'lat': 37.5096261, 'lon': 22.3807895}, {'lat': 37.5096261, 'lon': 22.3807895}, {'lat': 37.5096235, 'lon': 22.3807228}, {'lat': 37.5096235, 'lon': 22.3807228}, {'lat': 37.5096131, 'lon': 22.3792176}, {'lat': 37.5096119, 'lon': 22.3790535}, {'lat': 37.5096101, 'lon': 22.3787881}, {'lat': 37.5096043, 'lon': 22.3779507}, {'lat': 37.5096, 'lon': 22.3773266}, {'lat': 37.5095914, 'lon': 22.3760814}, {'lat': 37.5095896, 'lon': 22.3758242}, {'lat': 37.5095864, 'lon': 22.3753637}, {'lat': 37.5095853, 'lon': 22.3752034}, {'lat': 37.5096352, 'lon': 22.3810571}, {'lat': 37.5096346, 'lon': 22.3810115}]"
Επάνω Χρέπας,377615491,way,residential,Επάνω Χρέπας,"[{'lat': 37.5095174, 'lon': 22.3668332}, {'lat': 37.509378, 'lon': 22.3670818}, {'lat': 37.5092503, 'lon': 22.367299}, {'lat': 37.5091407, 'lon': 22.367468}]"
Επαμεινώνδα,229509307,way,secondary,Επαμεινώνδα,"[{'lat': 37.518252, 'lon': 22.3753363}, {'lat': 37.5181903, 'lon': 22.3752451}, {'lat': 37.5179083, 'lon': 22.3747722}, {'lat': 37.5177685, 'lon': 22.3745342}, {'lat': 37.517393, 'lon': 22.3738443}, {'lat': 37.5173057, 'lon': 22.3736435}, {'lat': 37.5169391, 'lon': 22.3728309}, {'lat': 37.5168464, 'lon': 22.3726549}]"
Επισκόπου Μελτσίνης,229500825,way,residential,Επισκόπου Μελτσίνης,"[{'lat': 37.5030734, 'lon': 22.3649206}, {'lat': 37.5031622, 'lon': 22.3648274}, {'lat': 37.5032176, 'lon': 22.3647731}, {'lat': 37.5033883, 'lon': 22.364637}, {'lat': 37.5035792, 'lon': 22.3644819}]"
Ερατοσθένους,377765818,way,residential,Ερατοσθένους,"[{'lat': 37.51402, 'lon': 22.3665922}, {'lat': 37.5142837, 'lon': 22.3668297}, {'lat': 37.5144698, 'lon': 22.3670113}, {'lat': 37.5145956, 'lon': 22.3671354}]"
Ερμού,371542648,way,pedestrian,Ερμού,"[{'lat': 37.5104665, 'lon': 22.3733058}, {'lat': 37.5105194, 'lon': 22.373297}, {'lat': 37.5107766, 'lon': 22.3731221}, {'lat': 37.5109388, 'lon': 22.3729183}, {'lat': 37.5110065, 'lon': 22.3727916}, {'lat': 37.5098865, 'lon': 22.373153}, {'lat': 37.5101599, 'lon': 22.3732892}]"
Ερυθρού Σταυρού,229521723,way,secondary,Ερυθρού Σταυρού,"[{'lat': 37.5141247, 'lon': 22.3651176}, {'lat': 37.5141289, 'lon': 22.3647848}, {'lat': 37.5141204, 'lon': 22.3645998}, {'lat': 37.5141087, 'lon': 22.3644733}, {'lat': 37.5140837, 'lon': 22.3643439}, {'lat': 37.5140502, 'lon': 22.3642346}, {'lat': 37.5140087, 'lon': 22.3641223}, {'lat': 37.51398, 'lon': 22.3640606}, {'lat': 37.5139618, 'lon': 22.3640232}, {'lat': 37.5139395, 'lon': 22.3639775}, {'lat': 37.5136204, 'lon': 22.363385}, {'lat': 37.5134519, 'lon': 22.3630614}, {'lat': 37.513364, 'lon': 22.3628785}, {'lat': 37.5133239, 'lon': 22.3627905}, {'lat': 37.514044, 'lon': 22.365502}, {'lat': 37.5140856, 'lon': 22.3653748}, {'lat': 37.5141125, 'lon': 22.3652261}, {'lat': 37.5141247, 'lon': 22.3651176}, {'lat': 37.511645, 'lon': 22.3698337}, {'lat': 37.511888, 'lon': 22.3693817}, {'lat': 37.5121065, 'lon': 22.3689761}, {'lat': 37.5122238, 'lon': 22.3687481}, {'lat': 37.5122348, 'lon': 22.3687274}, {'lat': 37.5125659, 'lon': 22.3681894}, {'lat': 37.5125755, 'lon': 22.3681736}, {'lat': 37.5127099, 'lon': 22.3679366}, {'lat': 37.5132538, 'lon': 22.366991}, {'lat': 37.5133679, 'lon': 22.3667837}, {'lat': 37.5133679, 'lon': 22.3667837}, {'lat': 37.5135517, 'lon': 22.3664555}, {'lat': 37.5136967, 'lon': 22.3662046}, {'lat': 37.5138141, 'lon': 22.3659844}, {'lat': 37.513969, 'lon': 22.3656629}, {'lat': 37.514044, 'lon': 22.365502}]"
Ερύμανθου,31532594,way,tertiary,Ερύμανθου,"[{'lat': 37.5142292, 'lon': 22.3805822}, {'lat': 37.5145871, 'lon': 22.3798199}, {'lat': 37.5146091, 'lon': 22.379784}, {'lat': 37.5148042, 'lon': 22.3794866}, {'lat': 37.514999, 'lon': 22.3792588}, {'lat': 37.5153018, 'lon': 22.3789687}, {'lat': 37.515562, 'lon': 22.3787194}, {'lat': 37.5157267, 'lon': 22.3785844}, {'lat': 37.51594, 'lon': 22.3784282}, {'lat': 37.5159931, 'lon': 22.3783866}, {'lat': 37.5162624, 'lon': 22.3782075}, {'lat': 37.5164307, 'lon': 22.3781109}, {'lat': 37.5170037, 'lon': 22.3777462}, {'lat': 37.5170681, 'lon': 22.3777054}]"
Ευαγγελιστρίας,102253590,way,pedestrian,Ευαγγελιστρίας,"[{'lat': 37.5088497, 'lon': 22.374356}, {'lat': 37.5092312, 'lon': 22.3739433}, {'lat': 37.5092312, 'lon': 22.3739433}, {'lat': 37.5094298, 'lon': 22.373729}]"
Ευκλείδου,153934631,way,residential,Ευκλείδου,"[{'lat': 37.5231685, 'lon': 22.3793289}, {'lat': 37.5231344, 'lon': 22.3794557}, {'lat': 37.5231079, 'lon': 22.3795597}, {'lat': 37.5230809, 'lon': 22.3796359}, {'lat': 37.5229945, 'lon': 22.3798389}, {'lat': 37.5228701, 'lon': 22.3801343}, {'lat': 37.5227616, 'lon': 22.3803749}, {'lat': 37.5225886, 'lon': 22.3808724}, {'lat': 37.5224461, 'lon': 22.3812143}, {'lat': 37.5223163, 'lon': 22.3815104}, {'lat': 37.5220911, 'lon': 22.382005}, {'lat': 37.5220066, 'lon': 22.382183}, {'lat': 37.521934, 'lon': 22.3823326}, {'lat': 37.521843, 'lon': 22.3825105}, {'lat': 37.5217828, 'lon': 22.382636}, {'lat': 37.5216732, 'lon': 22.3828756}, {'lat': 37.5214503, 'lon': 22.3833107}, {'lat': 37.5213829, 'lon': 22.3834972}, {'lat': 37.5211799, 'lon': 22.3840232}, {'lat': 37.5210247, 'lon': 22.3844421}, {'lat': 37.520878, 'lon': 22.3848211}]"
Ευριδίκης,722408399,way,residential,Ευριδίκης,"[{'lat': 37.5019854, 'lon': 22.3634929}, {'lat': 37.5023446, 'lon': 22.3639557}, {'lat': 37.5023676, 'lon': 22.3639858}, {'lat': 37.5026819, 'lon': 22.3643962}, {'lat': 37.5027573, 'lon': 22.3644851}, {'lat': 37.5030734, 'lon': 22.3649206}, {'lat': 37.5035458, 'lon': 22.3655677}]"
Ζέγγελη,215618006,way,residential,Ζέγγελη,"[{'lat': 37.505951, 'lon': 22.3665536}, {'lat': 37.5057688, 'lon': 22.3663653}, {'lat': 37.5056819, 'lon': 22.3662635}, {'lat': 37.5055867, 'lon': 22.3661464}, {'lat': 37.5055294, 'lon': 22.3660765}, {'lat': 37.505484, 'lon': 22.3660065}, {'lat': 37.5054326, 'lon': 22.3659108}, {'lat': 37.5053686, 'lon': 22.3657645}, {'lat': 37.5053143, 'lon': 22.3655995}, {'lat': 37.5052915, 'lon': 22.3654855}, {'lat': 37.5052895, 'lon': 22.3653842}, {'lat': 37.5053046, 'lon': 22.3653}, {'lat': 37.5053425, 'lon': 22.3652448}, {'lat': 37.5053955, 'lon': 22.3651882}, {'lat': 37.5054648, 'lon': 22.3651486}, {'lat': 37.5056475, 'lon': 22.3650592}, {'lat': 37.5057083, 'lon': 22.3650253}, {'lat': 37.5057649, 'lon': 22.3649783}, {'lat': 37.5058412, 'lon': 22.3648864}, {'lat': 37.5058909, 'lon': 22.3648221}, {'lat': 37.505954, 'lon': 22.3647605}, {'lat': 37.5060076, 'lon': 22.3646973}, {'lat': 37.5060614, 'lon': 22.3646082}, {'lat': 37.5061132, 'lon': 22.3644759}, {'lat': 37.5061452, 'lon': 22.3643366}, {'lat': 37.5061607, 'lon': 22.3642286}, {'lat': 37.5061702, 'lon': 22.3640847}, {'lat': 37.5061745, 'lon': 22.3639766}]"
Ζήνωνος,31533182,way,residential,Ζήνωνος,"[{'lat': 37.5053475, 'lon': 22.393332}, {'lat': 37.5056527, 'lon': 22.3923168}]"
Ζαλόγγου,1012794807,way,residential,Ζαλόγγου,"[{'lat': 37.5109374, 'lon': 22.3779623}, {'lat': 37.5102228, 'lon': 22.3779557}, {'lat': 37.5102228, 'lon': 22.3779557}, {'lat': 37.5096043, 'lon': 22.3779507}, {'lat': 37.5088004, 'lon': 22.3779321}, {'lat': 37.508255, 'lon': 22.3779137}, {'lat': 37.508197, 'lon': 22.3779133}, {'lat': 37.5081133, 'lon': 22.3779259}, {'lat': 37.5080641, 'lon': 22.3779353}]"
Ζατούνης,265000847,way,residential,Ζατούνης,"[{'lat': 37.5074258, 'lon': 22.3670476}, {'lat': 37.5074528, 'lon': 22.3670553}, {'lat': 37.5077162, 'lon': 22.3671301}, {'lat': 37.507945, 'lon': 22.3672347}, {'lat': 37.5082232, 'lon': 22.3674048}, {'lat': 37.5061112, 'lon': 22.3657903}, {'lat': 37.5062025, 'lon': 22.3657944}, {'lat': 37.5064727, 'lon': 22.3657971}, {'lat': 37.5065284, 'lon': 22.3658095}, {'lat': 37.5065929, 'lon': 22.365924}, {'lat': 37.5067407, 'lon': 22.3661631}, {'lat': 37.5067779, 'lon': 22.3662221}, {'lat': 37.5068364, 'lon': 22.3663294}, {'lat': 37.5069109, 'lon': 22.3665065}, {'lat': 37.506996, 'lon': 22.3666473}, {'lat': 37.50712, 'lon': 22.3668023}, {'lat': 37.5072737, 'lon': 22.366937}, {'lat': 37.5073561, 'lon': 22.36701}, {'lat': 37.5074258, 'lon': 22.3670476}]"
Ζαχάρα,377744407,way,residential,Ζαχάρα,"[{'lat': 37.5140077, 'lon': 22.3723386}, {'lat': 37.5140403, 'lon': 22.3722027}, {'lat': 37.5140761, 'lon': 22.3720413}, {'lat': 37.5141161, 'lon': 22.3718816}, {'lat': 37.5141685, 'lon': 22.3716959}, {'lat': 37.5142266, 'lon': 22.3715129}, {'lat': 37.5142903, 'lon': 22.3713329}]"
Ζυγοβιστίου,376942932,way,residential,Ζυγοβιστίου,"[{'lat': 37.5064933, 'lon': 22.3712908}, {'lat': 37.5065175, 'lon': 22.3715005}, {'lat': 37.5065558, 'lon': 22.3718894}, {'lat': 37.5065643, 'lon': 22.3720128}, {'lat': 37.5065673, 'lon': 22.3721592}]"
Ζώη,376240205,way,residential,Ζώη,"[{'lat': 37.5138443, 'lon': 22.3813483}, {'lat': 37.5139742, 'lon': 22.3820438}, {'lat': 37.5141433, 'lon': 22.3829507}]"
Ηλέκτρας,377706065,way,steps,Ηλέκτρας,"[{'lat': 37.5067281, 'lon': 22.3653183}, {'lat': 37.5068332, 'lon': 22.3650876}, {'lat': 37.5065284, 'lon': 22.3658095}, {'lat': 37.5067281, 'lon': 22.3653183}]"
Ηπείρου,215618004,way,residential,Ηπείρου,"[{'lat': 37.5058734, 'lon': 22.3679571}, {'lat': 37.5059011, 'lon': 22.3679766}, {'lat': 37.5059482, 'lon': 22.3679987}, {'lat': 37.5060018, 'lon': 22.3680191}, {'lat': 37.5060995, 'lon': 22.3680546}, {'lat': 37.5062225, 'lon': 22.3681059}, {'lat': 37.5064485, 'lon': 22.3681921}, {'lat': 37.506535, 'lon': 22.368234}, {'lat': 37.5069992, 'lon': 22.3684712}, {'lat': 37.5074769, 'lon': 22.368722}, {'lat': 37.5078407, 'lon': 22.3689392}, {'lat': 37.5080577, 'lon': 22.3690438}, {'lat': 37.5081939, 'lon': 22.3691297}]"
Ηροδότου,378660843,way,residential,Ηροδότου,"[{'lat': 37.5140355, 'lon': 22.3693256}, {'lat': 37.5141374, 'lon': 22.3691051}, {'lat': 37.514197, 'lon': 22.3689898}, {'lat': 37.5142321, 'lon': 22.3689218}, {'lat': 37.5142587, 'lon': 22.3688427}, {'lat': 37.5142672, 'lon': 22.3687823}]"
Ηρώων 1912,376631838,way,residential,Ηρώων 1912,"[{'lat': 37.5052254, 'lon': 22.3760699}, {'lat': 37.5051824, 'lon': 22.3759771}, {'lat': 37.5051129, 'lon': 22.3759524}, {'lat': 37.5050244, 'lon': 22.3759174}, {'lat': 37.5049204, 'lon': 22.3758781}, {'lat': 37.504781, 'lon': 22.3758365}, {'lat': 37.5044524, 'lon': 22.3757377}, {'lat': 37.5043065, 'lon': 22.3757118}, {'lat': 37.5042198, 'lon': 22.375673}, {'lat': 37.5041714, 'lon': 22.3756501}, {'lat': 37.5040001, 'lon': 22.3755066}, {'lat': 37.5038469, 'lon': 22.375394}, {'lat': 37.5036862, 'lon': 22.3752867}, {'lat': 37.5035905, 'lon': 22.375221}, {'lat': 37.5034639, 'lon': 22.3751807}, {'lat': 37.5033671, 'lon': 22.3751767}, {'lat': 37.5032968, 'lon': 22.3751794}, {'lat': 37.5032149, 'lon': 22.3751405}, {'lat': 37.5025094, 'lon': 22.3746396}]"
Ηρώων Πολυτεχνείου,376970928,way,residential,Ηρώων Πολυτεχνείου,"[{'lat': 37.5098865, 'lon': 22.373153}, {'lat': 37.5097929, 'lon': 22.373157}, {'lat': 37.5095024, 'lon': 22.373161}, {'lat': 37.5092184, 'lon': 22.3732053}, {'lat': 37.5089573, 'lon': 22.3732321}, {'lat': 37.5087037, 'lon': 22.3732835}, {'lat': 37.5086152, 'lon': 22.3732978}, {'lat': 37.5081716, 'lon': 22.3733582}, {'lat': 37.508068, 'lon': 22.3733744}, {'lat': 37.5077815, 'lon': 22.3733692}, {'lat': 37.5075978, 'lon': 22.373368}, {'lat': 37.5070258, 'lon': 22.3733287}]"
Ηφαίστου,376984496,way,residential,Ηφαίστου,"[{'lat': 37.5060614, 'lon': 22.3646082}, {'lat': 37.5062236, 'lon': 22.364704}, {'lat': 37.5064173, 'lon': 22.3648529}, {'lat': 37.5065726, 'lon': 22.3649387}, {'lat': 37.5066715, 'lon': 22.364995}, {'lat': 37.5067758, 'lon': 22.3650567}, {'lat': 37.5068332, 'lon': 22.3650876}, {'lat': 37.5068875, 'lon': 22.3651171}, {'lat': 37.5069545, 'lon': 22.3651372}, {'lat': 37.5070215, 'lon': 22.3651734}, {'lat': 37.5070918, 'lon': 22.3652177}, {'lat': 37.5071896, 'lon': 22.3653182}, {'lat': 37.5073322, 'lon': 22.365502}, {'lat': 37.5074335, 'lon': 22.3656833}]"
Θ. Βγενόπουλου,31533112,way,residential,Θ. Βγενόπουλου,"[{'lat': 37.5090225, 'lon': 22.3835773}, {'lat': 37.5087134, 'lon': 22.3834389}, {'lat': 37.508685, 'lon': 22.3834201}, {'lat': 37.5086419, 'lon': 22.3833862}, {'lat': 37.5084003, 'lon': 22.3831368}, {'lat': 37.5083381, 'lon': 22.3830812}, {'lat': 37.5082902, 'lon': 22.383049}, {'lat': 37.5072902, 'lon': 22.3826359}, {'lat': 37.5072673, 'lon': 22.3826151}, {'lat': 37.5070486, 'lon': 22.382535}, {'lat': 37.5065747, 'lon': 22.3823543}, {'lat': 37.5065274, 'lon': 22.3823261}, {'lat': 37.5064997, 'lon': 22.3823006}, {'lat': 37.506479, 'lon': 22.3822711}]"
Θάνα,376640846,way,residential,Θάνα,"[{'lat': 37.5027718, 'lon': 22.3740213}, {'lat': 37.5027839, 'lon': 22.3739942}, {'lat': 37.5028023, 'lon': 22.3739805}, {'lat': 37.5028288, 'lon': 22.3739658}, {'lat': 37.5029008, 'lon': 22.3739315}, {'lat': 37.503179, 'lon': 22.3738139}, {'lat': 37.5037183, 'lon': 22.3736106}, {'lat': 37.5038351, 'lon': 22.3735385}, {'lat': 37.5038774, 'lon': 22.3735151}, {'lat': 37.5039581, 'lon': 22.3734583}, {'lat': 37.5040146, 'lon': 22.373424}, {'lat': 37.5040668, 'lon': 22.3733959}, {'lat': 37.5040864, 'lon': 22.3733861}, {'lat': 37.5041151, 'lon': 22.3733736}, {'lat': 37.5041563, 'lon': 22.3733595}, {'lat': 37.5042514, 'lon': 22.3733336}, {'lat': 37.5043282, 'lon': 22.3733186}, {'lat': 37.504444, 'lon': 22.3733071}, {'lat': 37.5046158, 'lon': 22.3732867}, {'lat': 37.5047825, 'lon': 22.3732621}, {'lat': 37.50247, 'lon': 22.3747315}, {'lat': 37.5025094, 'lon': 22.3746396}, {'lat': 37.5027167, 'lon': 22.3741531}, {'lat': 37.5027611, 'lon': 22.3740435}, {'lat': 37.5027718, 'lon': 22.3740213}]"
Θεμιστοκλέους,229504769,way,tertiary,Θεμιστοκλέους,"[{'lat': 37.5070726, 'lon': 22.3639905}, {'lat': 37.5073337, 'lon': 22.3639864}, {'lat': 37.5075428, 'lon': 22.3639758}, {'lat': 37.5077492, 'lon': 22.363949}, {'lat': 37.5081811, 'lon': 22.3638605}, {'lat': 37.5084993, 'lon': 22.3638198}, {'lat': 37.5087258, 'lon': 22.3638122}, {'lat': 37.5088602, 'lon': 22.3638056}, {'lat': 37.5088602, 'lon': 22.3638056}, {'lat': 37.5091684, 'lon': 22.3637474}, {'lat': 37.5061745, 'lon': 22.3639766}, {'lat': 37.5064094, 'lon': 22.3639856}, {'lat': 37.5064921, 'lon': 22.3639846}, {'lat': 37.5088589, 'lon': 22.3636869}, {'lat': 37.5087232, 'lon': 22.3636864}, {'lat': 37.5084968, 'lon': 22.3636968}, {'lat': 37.5082716, 'lon': 22.3637196}, {'lat': 37.5080428, 'lon': 22.3637612}, {'lat': 37.5077859, 'lon': 22.3638115}, {'lat': 37.5075974, 'lon': 22.3638384}, {'lat': 37.5073981, 'lon': 22.3638625}, {'lat': 37.5072439, 'lon': 22.3638712}, {'lat': 37.5069832, 'lon': 22.3638672}, {'lat': 37.5112921, 'lon': 22.3643252}, {'lat': 37.5115213, 'lon': 22.3643347}, {'lat': 37.5119975, 'lon': 22.3642992}, {'lat': 37.5120324, 'lon': 22.3642969}, {'lat': 37.5129441, 'lon': 22.3642278}, {'lat': 37.5137545, 'lon': 22.3641586}, {'lat': 37.5140087, 'lon': 22.3641223}, {'lat': 37.5064921, 'lon': 22.3639846}, {'lat': 37.5068088, 'lon': 22.3639806}, {'lat': 37.5069338, 'lon': 22.3639824}, {'lat': 37.5070726, 'lon': 22.3639905}, {'lat': 37.5091684, 'lon': 22.3637474}, {'lat': 37.5092285, 'lon': 22.3637503}, {'lat': 37.5095508, 'lon': 22.363767}, {'lat': 37.5096492, 'lon': 22.3637761}, {'lat': 37.5097459, 'lon': 22.3637934}, {'lat': 37.5098776, 'lon': 22.3638316}, {'lat': 37.5109087, 'lon': 22.3642225}, {'lat': 37.511054, 'lon': 22.3642769}, {'lat': 37.5111426, 'lon': 22.3643036}, {'lat': 37.5112132, 'lon': 22.3643178}, {'lat': 37.5112921, 'lon': 22.3643252}, {'lat': 37.5091684, 'lon': 22.3637474}, {'lat': 37.5088589, 'lon': 22.3636869}, {'lat': 37.5069832, 'lon': 22.3638672}, {'lat': 37.5067237, 'lon': 22.3638618}, {'lat': 37.5065963, 'lon': 22.3638696}, {'lat': 37.5064835, 'lon': 22.3638859}, {'lat': 37.5064835, 'lon': 22.3638859}, {'lat': 37.5063959, 'lon': 22.3639032}, {'lat': 37.5061745, 'lon': 22.3639766}]"
Θεοκλήτου,31532636,way,residential,Θεοκλήτου,"[{'lat': 37.5116825, 'lon': 22.3701036}, {'lat': 37.511855, 'lon': 22.3702468}, {'lat': 37.5119163, 'lon': 22.3702905}, {'lat': 37.5119531, 'lon': 22.370313}, {'lat': 37.5120781, 'lon': 22.3703854}, {'lat': 37.5128588, 'lon': 22.3707769}]"
Θεοκρίτου,265000848,way,residential,Θεοκρίτου,"[{'lat': 37.5157692, 'lon': 22.3693027}, {'lat': 37.5157837, 'lon': 22.3693295}, {'lat': 37.5158005, 'lon': 22.3693598}, {'lat': 37.5158435, 'lon': 22.3694307}, {'lat': 37.5159137, 'lon': 22.3695471}, {'lat': 37.5159918, 'lon': 22.3696686}, {'lat': 37.5160739, 'lon': 22.369789}, {'lat': 37.5161301, 'lon': 22.3698633}, {'lat': 37.5161659, 'lon': 22.3699083}, {'lat': 37.5162012, 'lon': 22.369946}, {'lat': 37.516288, 'lon': 22.3700261}, {'lat': 37.5164109, 'lon': 22.3701282}, {'lat': 37.5165284, 'lon': 22.3702201}, {'lat': 37.5166062, 'lon': 22.3702842}, {'lat': 37.5167785, 'lon': 22.3704582}, {'lat': 37.5168514, 'lon': 22.3705215}, {'lat': 37.5168924, 'lon': 22.3705491}, {'lat': 37.5170185, 'lon': 22.3706111}]"
Θεοφιλοπούλου,1012786808,way,residential,Θεοφιλοπούλου,"[{'lat': 37.5132995, 'lon': 22.3682446}, {'lat': 37.5133716, 'lon': 22.3678637}, {'lat': 37.5134157, 'lon': 22.3675751}, {'lat': 37.51344, 'lon': 22.3674191}, {'lat': 37.5134604, 'lon': 22.3673409}, {'lat': 37.5134882, 'lon': 22.3672404}, {'lat': 37.5135858, 'lon': 22.3669671}, {'lat': 37.512789, 'lon': 22.3713082}, {'lat': 37.5127917, 'lon': 22.3711172}, {'lat': 37.5128588, 'lon': 22.3707769}, {'lat': 37.5129715, 'lon': 22.3701677}, {'lat': 37.5131557, 'lon': 22.3690467}, {'lat': 37.5132401, 'lon': 22.3685762}, {'lat': 37.5132995, 'lon': 22.3682446}]"
Θεόκτιστου,376648025,way,residential,Θεόκτιστου,"[{'lat': 37.5051433, 'lon': 22.3701339}, {'lat': 37.5053225, 'lon': 22.3696949}, {'lat': 37.5053406, 'lon': 22.3696554}]"
Θησέως,102253641,way,residential,Θησέως,"[{'lat': 37.5165259, 'lon': 22.3771484}, {'lat': 37.5164207, 'lon': 22.3774591}, {'lat': 37.5164052, 'lon': 22.3774993}, {'lat': 37.5163912, 'lon': 22.3775318}, {'lat': 37.5163745, 'lon': 22.3775867}, {'lat': 37.5163319, 'lon': 22.3777047}, {'lat': 37.5162815, 'lon': 22.3778154}, {'lat': 37.5162481, 'lon': 22.3778945}, {'lat': 37.5162222, 'lon': 22.3779634}, {'lat': 37.5162164, 'lon': 22.3779814}, {'lat': 37.5162132, 'lon': 22.3779929}, {'lat': 37.5162107, 'lon': 22.378007}, {'lat': 37.5162095, 'lon': 22.3780201}, {'lat': 37.5162094, 'lon': 22.3780312}, {'lat': 37.51621, 'lon': 22.3780466}, {'lat': 37.5162118, 'lon': 22.3780628}, {'lat': 37.5162146, 'lon': 22.378078}, {'lat': 37.5162199, 'lon': 22.3780981}, {'lat': 37.5162624, 'lon': 22.3782075}]"
Θουκυδίδου,31533181,way,residential,Θουκυδίδου,"[{'lat': 37.5047661, 'lon': 22.391962}, {'lat': 37.5045965, 'lon': 22.3924758}, {'lat': 37.5045125, 'lon': 22.3927565}, {'lat': 37.504478, 'lon': 22.3928736}, {'lat': 37.5044628, 'lon': 22.392932}, {'lat': 37.5043804, 'lon': 22.3932783}, {'lat': 37.5043361, 'lon': 22.393478}, {'lat': 37.5042071, 'lon': 22.3940594}, {'lat': 37.504149, 'lon': 22.3943853}, {'lat': 37.5041164, 'lon': 22.3946395}, {'lat': 37.5040948, 'lon': 22.3949178}, {'lat': 37.5040909, 'lon': 22.3951323}, {'lat': 37.5040884, 'lon': 22.3952758}, {'lat': 37.5040959, 'lon': 22.3971746}, {'lat': 37.5041001, 'lon': 22.3973572}]"
Θράκης,265000850,way,residential,Θράκης,"[{'lat': 37.5112109, 'lon': 22.3688346}, {'lat': 37.511888, 'lon': 22.3693817}, {'lat': 37.5122449, 'lon': 22.3696654}]"
