id,type,name,building_type,coordinates
1360084408,way,Unnamed Hospital,hospital,"[{""lat"": 37.5116298, ""lon"": 22.3636487}, {""lat"": 37.5115744, ""lon"": 22.3636752}, {""lat"": 37.51157, ""lon"": 22.3636629}, {""lat"": 37.5115485, ""lon"": 22.3636721}, {""lat"": 37.5115306, ""lon"": 22.3636146}, {""lat"": 37.5114977, ""lon"": 22.3636298}, {""lat"": 37.5115039, ""lon"": 22.3636505}, {""lat"": 37.511416, ""lon"": 22.3636965}, {""lat"": 37.5114014, ""lon"": 22.363651}, {""lat"": 37.5110571, ""lon"": 22.3638581}, {""lat"": 37.5110742, ""lon"": 22.363905}, {""lat"": 37.5110626, ""lon"": 22.3639174}, {""lat"": 37.5110658, ""lon"": 22.3639593}, {""lat"": 37.5110972, ""lon"": 22.3640293}, {""lat"": 37.5111772, ""lon"": 22.3639892}, {""lat"": 37.5112206, ""lon"": 22.3641337}, {""lat"": 37.5112809, ""lon"": 22.3641038}, {""lat"": 37.51129, ""lon"": 22.3641347}, {""lat"": 37.5114105, ""lon"": 22.3640762}, {""lat"": 37.5114342, ""lon"": 22.3641485}, {""lat"": 37.5114919, ""lon"": 22.3641199}, {""lat"": 37.5114348, ""lon"": 22.3639288}, {""lat"": 37.5116796, ""lon"": 22.3638}, {""lat"": 37.5116298, ""lon"": 22.3636487}]"
1360084409,way,Unnamed Hospital,hospital,"[{""lat"": 37.511721, ""lon"": 22.3638971}, {""lat"": 37.5114864, ""lon"": 22.3640154}, {""lat"": 37.5115274, ""lon"": 22.3641447}, {""lat"": 37.5117621, ""lon"": 22.3640264}, {""lat"": 37.511721, ""lon"": 22.3638971}]"
813613259,way,Unnamed Hospital,hospital,"[{""lat"": 37.5112761, ""lon"": 22.3619732}, {""lat"": 37.5111556, ""lon"": 22.3620546}, {""lat"": 37.511373, ""lon"": 22.362543}, {""lat"": 37.5112115, ""lon"": 22.3626434}, {""lat"": 37.5112644, ""lon"": 22.3627845}, {""lat"": 37.51093, ""lon"": 22.3630064}, {""lat"": 37.5111631, ""lon"": 22.3635342}, {""lat"": 37.511384, ""lon"": 22.3633712}, {""lat"": 37.5113128, ""lon"": 22.3632081}, {""lat"": 37.5115075, ""lon"": 22.3630671}, {""lat"": 37.5116572, ""lon"": 22.3633712}, {""lat"": 37.5117109, ""lon"": 22.3633346}, {""lat"": 37.5116964, ""lon"": 22.3632997}, {""lat"": 37.5117458, ""lon"": 22.3632594}, {""lat"": 37.5115424, ""lon"": 22.3627922}, {""lat"": 37.5116031, ""lon"": 22.362684}, {""lat"": 37.5116817, ""lon"": 22.3625375}, {""lat"": 37.5116958, ""lon"": 22.3624438}, {""lat"": 37.5116546, ""lon"": 22.3623523}, {""lat"": 37.5114864, ""lon"": 22.3624653}, {""lat"": 37.5112761, ""lon"": 22.3619732}]"
823358521,way,Unnamed Hospital,hospital,"[{""lat"": 37.5116817, ""lon"": 22.3625375}, {""lat"": 37.5120339, ""lon"": 22.3628032}, {""lat"": 37.5119637, ""lon"": 22.3629467}, {""lat"": 37.5116031, ""lon"": 22.362684}, {""lat"": 37.5116817, ""lon"": 22.3625375}]"
761937796,way,Unnamed Industrial,industrial,"[{""lat"": 37.5079396, ""lon"": 22.4029156}, {""lat"": 37.5074739, ""lon"": 22.4029162}, {""lat"": 37.5074753, ""lon"": 22.404583}, {""lat"": 37.507941, ""lon"": 22.4045824}, {""lat"": 37.5079396, ""lon"": 22.4029156}]"
948920750,way,Unnamed Industrial,industrial,"[{""lat"": 37.50936, ""lon"": 22.4020499}, {""lat"": 37.509146, ""lon"": 22.4020357}, {""lat"": 37.5091403, ""lon"": 22.4021791}, {""lat"": 37.5093529, ""lon"": 22.4021935}, {""lat"": 37.50936, ""lon"": 22.4020499}]"
948920749,way,Unnamed Industrial,industrial,"[{""lat"": 37.5103497, ""lon"": 22.4021274}, {""lat"": 37.5103426, ""lon"": 22.4022712}, {""lat"": 37.5093529, ""lon"": 22.4021935}, {""lat"": 37.50936, ""lon"": 22.4020499}, {""lat"": 37.5103497, ""lon"": 22.4021274}]"
983700925,way,Unnamed Residential,residential,"[{""lat"": 37.5171861, ""lon"": 22.3767397}, {""lat"": 37.5171388, ""lon"": 22.3766247}, {""lat"": 37.5170486, ""lon"": 22.3765774}, {""lat"": 37.5169441, ""lon"": 22.3766005}, {""lat"": 37.5168813, ""lon"": 22.3767014}, {""lat"": 37.5168691, ""lon"": 22.3768344}, {""lat"": 37.5169198, ""lon"": 22.3769354}, {""lat"": 37.5169898, ""lon"": 22.3769839}, {""lat"": 37.5171094, ""lon"": 22.3769558}, {""lat"": 37.5171784, ""lon"": 22.37686}, {""lat"": 37.5171861, ""lon"": 22.3767397}]"
1074936758,way,Unnamed Roof,roof,"[{""lat"": 37.5246353, ""lon"": 22.3799637}, {""lat"": 37.5246256, ""lon"": 22.3799984}, {""lat"": 37.5246195, ""lon"": 22.38002}, {""lat"": 37.5246873, ""lon"": 22.3800502}, {""lat"": 37.5246927, ""lon"": 22.3800309}, {""lat"": 37.5247031, ""lon"": 22.3799939}, {""lat"": 37.5246353, ""lon"": 22.3799637}]"
1074927205,way,Unnamed Roof,roof,"[{""lat"": 37.5003766, ""lon"": 22.3613416}, {""lat"": 37.5003264, ""lon"": 22.3614874}, {""lat"": 37.5002662, ""lon"": 22.3614545}, {""lat"": 37.5003164, ""lon"": 22.3613087}, {""lat"": 37.5003766, ""lon"": 22.3613416}]"
