name,highway,coordinates
Unnamed Road,service,"[{""lat"": 37.5103156, ""lon"": 22.4435256}, {""lat"": 37.5102663, ""lon"": 22.4434979}, {""lat"": 37.5101758, ""lon"": 22.4434456}, {""lat"": 37.5101365, ""lon"": 22.4434201}, {""lat"": 37.5100758, ""lon"": 22.4433933}, {""lat"": 37.5100131, ""lon"": 22.4433665}, {""lat"": 37.5098897, ""lon"": 22.443337}]"
Unnamed Road,service,"[{""lat"": 37.5161011, ""lon"": 22.4402136}, {""lat"": 37.5162139, ""lon"": 22.4401344}, {""lat"": 37.516233, ""lon"": 22.4400982}, {""lat"": 37.5162383, ""lon"": 22.4400486}, {""lat"": 37.5162054, ""lon"": 22.4398394}, {""lat"": 37.5161862, ""lon"": 22.4397697}, {""lat"": 37.5161309, ""lon"": 22.4396074}]"
Unnamed Road,service,"[{""lat"": 37.5160086, ""lon"": 22.4391179}, {""lat"": 37.5161309, ""lon"": 22.4396074}]"
Unnamed Road,service,"[{""lat"": 37.5161309, ""lon"": 22.4396074}, {""lat"": 37.5160756, ""lon"": 22.4396878}, {""lat"": 37.5160628, ""lon"": 22.4397321}, {""lat"": 37.5160575, ""lon"": 22.439775}, {""lat"": 37.5161011, ""lon"": 22.4402136}, {""lat"": 37.5161086, ""lon"": 22.4403477}]"
Unnamed Road,residential,"[{""lat"": 37.5143704, ""lon"": 22.4427402}, {""lat"": 37.5143927, ""lon"": 22.4428113}, {""lat"": 37.5144789, ""lon"": 22.443164}, {""lat"": 37.5145342, ""lon"": 22.4433611}]"
Unnamed Road,service,"[{""lat"": 37.5148342, ""lon"": 22.4347553}, {""lat"": 37.5149225, ""lon"": 22.4348571}, {""lat"": 37.515016, ""lon"": 22.4349403}, {""lat"": 37.5151384, ""lon"": 22.4350328}, {""lat"": 37.5151746, ""lon"": 22.4350637}]"
Unnamed Road,service,"[{""lat"": 37.516967, ""lon"": 22.4387209}, {""lat"": 37.5169213, ""lon"": 22.4387343}, {""lat"": 37.5168415, ""lon"": 22.4387518}, {""lat"": 37.5167915, ""lon"": 22.4387665}, {""lat"": 37.5167574, ""lon"": 22.4387839}, {""lat"": 37.5167308, ""lon"": 22.4388014}, {""lat"": 37.5167074, ""lon"": 22.4388336}, {""lat"": 37.5166925, ""lon"": 22.4388631}, {""lat"": 37.5166819, ""lon"": 22.4389073}, {""lat"": 37.5166691, ""lon"": 22.4389623}]"
Unnamed Road,residential,"[{""lat"": 37.5147874, ""lon"": 22.4298857}, {""lat"": 37.5147619, ""lon"": 22.4299259}, {""lat"": 37.514748, ""lon"": 22.4299742}, {""lat"": 37.5147416, ""lon"": 22.4300037}, {""lat"": 37.5147416, ""lon"": 22.4300332}, {""lat"": 37.5147416, ""lon"": 22.4300547}, {""lat"": 37.5147448, ""lon"": 22.4300815}, {""lat"": 37.514748, ""lon"": 22.4301754}, {""lat"": 37.5147459, ""lon"": 22.4304396}, {""lat"": 37.5147395, ""lon"": 22.4306676}, {""lat"": 37.5147395, ""lon"": 22.4307373}, {""lat"": 37.514731, ""lon"": 22.4307923}, {""lat"": 37.5147204, ""lon"": 22.4308459}, {""lat"": 37.5146959, ""lon"": 22.4309237}, {""lat"": 37.5144959, ""lon"": 22.4314468}, {""lat"": 37.5143861, ""lon"": 22.4316671}, {""lat"": 37.5143193, ""lon"": 22.4317753}, {""lat"": 37.5142736, ""lon"": 22.4318209}, {""lat"": 37.5142449, ""lon"": 22.431841}, {""lat"": 37.5142044, ""lon"": 22.4318558}, {""lat"": 37.5141002, ""lon"": 22.4318799}]"
Unnamed Road,track,"[{""lat"": 37.5164543, ""lon"": 22.435061}, {""lat"": 37.5166117, ""lon"": 22.4350101}, {""lat"": 37.516734, ""lon"": 22.4349819}, {""lat"": 37.5168479, ""lon"": 22.4349685}, {""lat"": 37.5168808, ""lon"": 22.4349698}, {""lat"": 37.5168957, ""lon"": 22.4349765}, {""lat"": 37.5169149, ""lon"": 22.43499}, {""lat"": 37.5169234, ""lon"": 22.4350074}, {""lat"": 37.516933, ""lon"": 22.435057}, {""lat"": 37.5169489, ""lon"": 22.4352166}, {""lat"": 37.516967, ""lon"": 22.435407}]"
Unnamed Road,residential,"[{""lat"": 37.5126542, ""lon"": 22.4248831}, {""lat"": 37.5123439, ""lon"": 22.4248807}]"
Unnamed Road,residential,"[{""lat"": 37.513707, ""lon"": 22.4248094}, {""lat"": 37.5135992, ""lon"": 22.4247694}, {""lat"": 37.5134619, ""lon"": 22.424756}, {""lat"": 37.51328, ""lon"": 22.4247587}, {""lat"": 37.5130492, ""lon"": 22.4247788}, {""lat"": 37.5129917, ""lon"": 22.4247949}, {""lat"": 37.5129715, ""lon"": 22.4248043}, {""lat"": 37.512963, ""lon"": 22.4248177}, {""lat"": 37.5129566, ""lon"": 22.4248351}, {""lat"": 37.5129481, ""lon"": 22.4248445}, {""lat"": 37.5129354, ""lon"": 22.4248512}, {""lat"": 37.5129077, ""lon"": 22.4248579}, {""lat"": 37.5128811, ""lon"": 22.4248619}, {""lat"": 37.5128651, ""lon"": 22.4248646}, {""lat"": 37.5128513, ""lon"": 22.4248753}, {""lat"": 37.5128439, ""lon"": 22.4248928}, {""lat"": 37.5128439, ""lon"": 22.4249142}, {""lat"": 37.5128449, ""lon"": 22.424929}, {""lat"": 37.5128471, ""lon"": 22.4249531}, {""lat"": 37.5128481, ""lon"": 22.4249732}, {""lat"": 37.5128449, ""lon"": 22.4250121}, {""lat"": 37.5128385, ""lon"": 22.4250282}, {""lat"": 37.5128226, ""lon"": 22.425043}, {""lat"": 37.5127939, ""lon"": 22.4250483}, {""lat"": 37.5127492, ""lon"": 22.4250175}, {""lat"": 37.5127151, ""lon"": 22.4249893}, {""lat"": 37.5126907, ""lon"": 22.4249572}, {""lat"": 37.5126641, ""lon"": 22.4249102}, {""lat"": 37.5126542, ""lon"": 22.4248831}, {""lat"": 37.5126513, ""lon"": 22.4248633}, {""lat"": 37.5126492, ""lon"": 22.4247989}]"
Unnamed Road,residential,"[{""lat"": 37.5129694, ""lon"": 22.4237019}, {""lat"": 37.5129812, ""lon"": 22.424157}]"
Unnamed Road,residential,"[{""lat"": 37.5136981, ""lon"": 22.4241418}, {""lat"": 37.5136518, ""lon"": 22.424133}, {""lat"": 37.5135598, ""lon"": 22.4241304}, {""lat"": 37.5131641, ""lon"": 22.4241444}, {""lat"": 37.5129812, ""lon"": 22.424157}, {""lat"": 37.5128896, ""lon"": 22.4241632}]"
Unnamed Road,service,"[{""lat"": 37.5121322, ""lon"": 22.4277855}, {""lat"": 37.5121577, ""lon"": 22.4278446}, {""lat"": 37.5121966, ""lon"": 22.4278989}, {""lat"": 37.512238, ""lon"": 22.4279311}, {""lat"": 37.5122636, ""lon"": 22.4279545}, {""lat"": 37.5122817, ""lon"": 22.427974}, {""lat"": 37.5123082, ""lon"": 22.4280155}]"
Unnamed Road,residential,"[{""lat"": 37.5161681, ""lon"": 22.426718}, {""lat"": 37.5161298, ""lon"": 22.426714}, {""lat"": 37.5154724, ""lon"": 22.4268723}, {""lat"": 37.5151395, ""lon"": 22.4269165}, {""lat"": 37.5150863, ""lon"": 22.4269165}, {""lat"": 37.5150501, ""lon"": 22.4268991}, {""lat"": 37.5150193, ""lon"": 22.4268669}, {""lat"": 37.5149916, ""lon"": 22.4268012}, {""lat"": 37.5149246, ""lon"": 22.426486}, {""lat"": 37.5148948, ""lon"": 22.4263117}]"
Unnamed Road,service,"[{""lat"": 37.5119418, ""lon"": 22.4147017}, {""lat"": 37.5119267, ""lon"": 22.4146647}, {""lat"": 37.5119167, ""lon"": 22.414625}, {""lat"": 37.511912, ""lon"": 22.4145837}, {""lat"": 37.5119127, ""lon"": 22.4145424}, {""lat"": 37.5119188, ""lon"": 22.4145018}, {""lat"": 37.5119301, ""lon"": 22.414463}]"
Unnamed Road,service,"[{""lat"": 37.5119301, ""lon"": 22.414463}, {""lat"": 37.5119714, ""lon"": 22.4144338}, {""lat"": 37.5120244, ""lon"": 22.4144113}, {""lat"": 37.512079, ""lon"": 22.414396}, {""lat"": 37.512133, ""lon"": 22.4143879}, {""lat"": 37.5121874, ""lon"": 22.4143868}, {""lat"": 37.5122415, ""lon"": 22.4143927}, {""lat"": 37.512295, ""lon"": 22.4144053}]"
Unnamed Road,service,"[{""lat"": 37.5123098, ""lon"": 22.4147004}, {""lat"": 37.5122439, ""lon"": 22.4147211}, {""lat"": 37.5121767, ""lon"": 22.4147327}, {""lat"": 37.5121088, ""lon"": 22.4147353}, {""lat"": 37.5120524, ""lon"": 22.4147304}, {""lat"": 37.5119966, ""lon"": 22.4147192}, {""lat"": 37.5119418, ""lon"": 22.4147017}]"
Unnamed Road,service,"[{""lat"": 37.512295, ""lon"": 22.4144053}, {""lat"": 37.5123213, ""lon"": 22.414436}, {""lat"": 37.5123412, ""lon"": 22.4144736}, {""lat"": 37.5123535, ""lon"": 22.414516}, {""lat"": 37.5123577, ""lon"": 22.4145609}, {""lat"": 37.5123545, ""lon"": 22.4145997}, {""lat"": 37.5123452, ""lon"": 22.4146369}, {""lat"": 37.5123301, ""lon"": 22.4146709}, {""lat"": 37.5123098, ""lon"": 22.4147004}]"
Unnamed Road,service,"[{""lat"": 37.5126896, ""lon"": 22.4141237}, {""lat"": 37.5126641, ""lon"": 22.4141545}, {""lat"": 37.5126436, ""lon"": 22.4141909}, {""lat"": 37.5126291, ""lon"": 22.4142316}, {""lat"": 37.5126209, ""lon"": 22.414275}, {""lat"": 37.5126194, ""lon"": 22.4143195}, {""lat"": 37.5126245, ""lon"": 22.4143626}, {""lat"": 37.5126358, ""lon"": 22.4144038}, {""lat"": 37.512653, ""lon"": 22.4144415}, {""lat"": 37.5126754, ""lon"": 22.4144746}, {""lat"": 37.5127024, ""lon"": 22.4145019}]"
Unnamed Road,service,"[{""lat"": 37.5124759, ""lon"": 22.4144914}, {""lat"": 37.51263, ""lon"": 22.4144804}, {""lat"": 37.5126754, ""lon"": 22.4144746}]"
Unnamed Road,service,"[{""lat"": 37.515075, ""lon"": 22.4128303}, {""lat"": 37.5150463, ""lon"": 22.4121998}]"
Unnamed Road,service,"[{""lat"": 37.515316, ""lon"": 22.4128129}, {""lat"": 37.5152937, ""lon"": 22.4121872}]"
Unnamed Road,service,"[{""lat"": 37.5155065, ""lon"": 22.4127992}, {""lat"": 37.515316, ""lon"": 22.4128129}, {""lat"": 37.515075, ""lon"": 22.4128303}]"
Unnamed Road,service,"[{""lat"": 37.5141193, ""lon"": 22.4124715}, {""lat"": 37.5139868, ""lon"": 22.4124412}, {""lat"": 37.5138733, ""lon"": 22.4123915}, {""lat"": 37.513758, ""lon"": 22.4123494}, {""lat"": 37.513641, ""lon"": 22.4123149}, {""lat"": 37.5135228, ""lon"": 22.4122883}, {""lat"": 37.5133817, ""lon"": 22.4122668}, {""lat"": 37.5132399, ""lon"": 22.4122564}, {""lat"": 37.5130978, ""lon"": 22.4122571}, {""lat"": 37.5129561, ""lon"": 22.4122689}, {""lat"": 37.5128151, ""lon"": 22.4122918}]"
Unnamed Road,service,"[{""lat"": 37.5152937, ""lon"": 22.4121872}, {""lat"": 37.5150463, ""lon"": 22.4121998}, {""lat"": 37.5146108, ""lon"": 22.412222}, {""lat"": 37.5143683, ""lon"": 22.4123776}, {""lat"": 37.5141193, ""lon"": 22.4124715}]"
Unnamed Road,service,"[{""lat"": 37.5135335, ""lon"": 22.413176}, {""lat"": 37.5135228, ""lon"": 22.4122883}]"
Unnamed Road,service,"[{""lat"": 37.5131172, ""lon"": 22.4197027}, {""lat"": 37.5131421, ""lon"": 22.4198447}, {""lat"": 37.5131595, ""lon"": 22.4199884}, {""lat"": 37.5131694, ""lon"": 22.4201332}, {""lat"": 37.5131718, ""lon"": 22.4202585}, {""lat"": 37.5131686, ""lon"": 22.4203838}, {""lat"": 37.5131598, ""lon"": 22.4205087}, {""lat"": 37.5131619, ""lon"": 22.4205543}, {""lat"": 37.5131641, ""lon"": 22.420612}, {""lat"": 37.5131768, ""lon"": 22.420667}, {""lat"": 37.5131928, ""lon"": 22.4207018}, {""lat"": 37.5132173, ""lon"": 22.4207273}, {""lat"": 37.5132407, ""lon"": 22.4207447}, {""lat"": 37.5132981, ""lon"": 22.4207541}, {""lat"": 37.5133598, ""lon"": 22.4207528}, {""lat"": 37.5134704, ""lon"": 22.4207407}]"
Unnamed Road,service,"[{""lat"": 37.5129396, ""lon"": 22.4197671}, {""lat"": 37.5129259, ""lon"": 22.419883}, {""lat"": 37.5129209, ""lon"": 22.42}, {""lat"": 37.5129247, ""lon"": 22.4201171}, {""lat"": 37.5129364, ""lon"": 22.4202269}, {""lat"": 37.5129558, ""lon"": 22.4203349}, {""lat"": 37.5129829, ""lon"": 22.4204403}, {""lat"": 37.5130173, ""lon"": 22.4205422}]"
Unnamed Road,service,"[{""lat"": 37.5134779, ""lon"": 22.4197349}, {""lat"": 37.513406, ""lon"": 22.4197135}, {""lat"": 37.5133329, ""lon"": 22.4196996}, {""lat"": 37.5132592, ""lon"": 22.4196933}, {""lat"": 37.5131853, ""lon"": 22.4196947}, {""lat"": 37.5131172, ""lon"": 22.4197027}, {""lat"": 37.5130497, ""lon"": 22.4197174}, {""lat"": 37.5129833, ""lon"": 22.4197384}, {""lat"": 37.5129396, ""lon"": 22.4197671}]"
Unnamed Road,service,"[{""lat"": 37.5116939, ""lon"": 22.4204725}, {""lat"": 37.511945, ""lon"": 22.4203652}, {""lat"": 37.5119857, ""lon"": 22.4203538}, {""lat"": 37.5120216, ""lon"": 22.4203438}, {""lat"": 37.5120982, ""lon"": 22.4203411}, {""lat"": 37.5121811, ""lon"": 22.4203438}, {""lat"": 37.5122407, ""lon"": 22.4203598}, {""lat"": 37.512346, ""lon"": 22.4204484}, {""lat"": 37.5123918, ""lon"": 22.420494}, {""lat"": 37.5124556, ""lon"": 22.4205489}, {""lat"": 37.5125098, ""lon"": 22.4205838}, {""lat"": 37.5125428, ""lon"": 22.4205972}, {""lat"": 37.5125832, ""lon"": 22.4205986}, {""lat"": 37.5126205, ""lon"": 22.4205986}, {""lat"": 37.5126588, ""lon"": 22.4205959}, {""lat"": 37.5127205, ""lon"": 22.4205878}, {""lat"": 37.512946, ""lon"": 22.4205624}, {""lat"": 37.5130173, ""lon"": 22.4205422}, {""lat"": 37.5131598, ""lon"": 22.4205087}]"
Unnamed Road,service,"[{""lat"": 37.5120131, ""lon"": 22.4196416}, {""lat"": 37.5119588, ""lon"": 22.4198435}, {""lat"": 37.5119439, ""lon"": 22.4199347}, {""lat"": 37.5119365, ""lon"": 22.4200286}, {""lat"": 37.5119365, ""lon"": 22.4201292}, {""lat"": 37.5119492, ""lon"": 22.4202365}, {""lat"": 37.5119673, ""lon"": 22.4203196}, {""lat"": 37.5119857, ""lon"": 22.4203538}]"
Unnamed Road,service,"[{""lat"": 37.5172671, ""lon"": 22.4166708}, {""lat"": 37.5170325, ""lon"": 22.4167386}, {""lat"": 37.516988, ""lon"": 22.4167501}, {""lat"": 37.5169456, ""lon"": 22.4167566}, {""lat"": 37.5168374, ""lon"": 22.4167605}, {""lat"": 37.5167252, ""lon"": 22.4167645}]"
Unnamed Road,service,"[{""lat"": 37.5161905, ""lon"": 22.4158806}, {""lat"": 37.5161789, ""lon"": 22.4159435}, {""lat"": 37.5161766, ""lon"": 22.416008}, {""lat"": 37.5161828, ""lon"": 22.4160674}, {""lat"": 37.5161968, ""lon"": 22.4161246}]"
Unnamed Road,service,"[{""lat"": 37.5165192, ""lon"": 22.4158564}, {""lat"": 37.5164671, ""lon"": 22.4158411}, {""lat"": 37.5164141, ""lon"": 22.4158331}, {""lat"": 37.5163607, ""lon"": 22.4158323}, {""lat"": 37.5163025, ""lon"": 22.4158398}, {""lat"": 37.5162455, ""lon"": 22.415856}, {""lat"": 37.5161905, ""lon"": 22.4158806}]"
Unnamed Road,service,"[{""lat"": 37.5165353, ""lon"": 22.416109}, {""lat"": 37.516553, ""lon"": 22.4160729}, {""lat"": 37.5165637, ""lon"": 22.4160327}, {""lat"": 37.516567, ""lon"": 22.4159905}, {""lat"": 37.5165635, ""lon"": 22.4159531}, {""lat"": 37.5165541, ""lon"": 22.4159173}, {""lat"": 37.5165391, ""lon"": 22.4158846}, {""lat"": 37.5165192, ""lon"": 22.4158564}]"
Unnamed Road,service,"[{""lat"": 37.5166971, ""lon"": 22.4160963}, {""lat"": 37.5165353, ""lon"": 22.416109}, {""lat"": 37.5161968, ""lon"": 22.4161246}]"
Unnamed Road,service,"[{""lat"": 37.5167097, ""lon"": 22.416397}, {""lat"": 37.5164947, ""lon"": 22.4164183}]"
Unnamed Road,service,"[{""lat"": 37.5132619, ""lon"": 22.4141049}, {""lat"": 37.5131729, ""lon"": 22.4140799}, {""lat"": 37.5130825, ""lon"": 22.4140652}, {""lat"": 37.5129913, ""lon"": 22.4140611}, {""lat"": 37.5129002, ""lon"": 22.4140674}, {""lat"": 37.512829, ""lon"": 22.4140798}, {""lat"": 37.5127587, ""lon"": 22.4140986}, {""lat"": 37.5126896, ""lon"": 22.4141237}]"
Unnamed Road,service,"[{""lat"": 37.5166833, ""lon"": 22.4157688}, {""lat"": 37.5168122, ""lon"": 22.4157633}]"
Unnamed Road,service,"[{""lat"": 37.5127024, ""lon"": 22.4145019}, {""lat"": 37.5127916, ""lon"": 22.4145108}, {""lat"": 37.512881, ""lon"": 22.4145135}, {""lat"": 37.5129705, ""lon"": 22.4145099}, {""lat"": 37.5130721, ""lon"": 22.4144983}, {""lat"": 37.5131729, ""lon"": 22.4144786}, {""lat"": 37.5132726, ""lon"": 22.4144509}]"
Unnamed Road,service,"[{""lat"": 37.5126033, ""lon"": 22.4171487}, {""lat"": 37.5124832, ""lon"": 22.4171533}]"
Unnamed Road,service,"[{""lat"": 37.5124806, ""lon"": 22.4145996}, {""lat"": 37.5123577, ""lon"": 22.4145609}]"
Unnamed Road,service,"[{""lat"": 37.5124499, ""lon"": 22.4139368}, {""lat"": 37.5119966, ""lon"": 22.4139653}, {""lat"": 37.5117921, ""lon"": 22.413977}, {""lat"": 37.5117502, ""lon"": 22.4139877}, {""lat"": 37.5116602, ""lon"": 22.4140342}]"
Unnamed Road,service,"[{""lat"": 37.5122615, ""lon"": 22.4124731}, {""lat"": 37.5122678, ""lon"": 22.4126028}, {""lat"": 37.512271, ""lon"": 22.4127004}, {""lat"": 37.5122611, ""lon"": 22.4127419}, {""lat"": 37.5122406, ""lon"": 22.4127638}, {""lat"": 37.5122118, ""lon"": 22.4127734}, {""lat"": 37.5119245, ""lon"": 22.4127878}, {""lat"": 37.5118759, ""lon"": 22.4127795}, {""lat"": 37.5118354, ""lon"": 22.4127606}, {""lat"": 37.5118072, ""lon"": 22.4127257}, {""lat"": 37.5117938, ""lon"": 22.4126771}, {""lat"": 37.5117841, ""lon"": 22.4125039}]"
Unnamed Road,service,"[{""lat"": 37.5123894, ""lon"": 22.412598}, {""lat"": 37.5122678, ""lon"": 22.4126028}]"
Unnamed Road,track,"[{""lat"": 37.5216504, ""lon"": 22.4310136}, {""lat"": 37.5215887, ""lon"": 22.4310431}, {""lat"": 37.521559, ""lon"": 22.4310753}, {""lat"": 37.5215313, ""lon"": 22.4311075}, {""lat"": 37.5214654, ""lon"": 22.4312174}, {""lat"": 37.5213633, ""lon"": 22.4313542}, {""lat"": 37.5212782, ""lon"": 22.4314481}, {""lat"": 37.5211739, ""lon"": 22.4315312}, {""lat"": 37.5209633, ""lon"": 22.4316975}, {""lat"": 37.5208421, ""lon"": 22.4317847}, {""lat"": 37.5207984, ""lon"": 22.4318008}, {""lat"": 37.520674, ""lon"": 22.4318397}, {""lat"": 37.5205017, ""lon"": 22.4318987}, {""lat"": 37.5203304, ""lon"": 22.4319564}]"
Unnamed Road,service,"[{""lat"": 37.5127066, ""lon"": 22.4163754}, {""lat"": 37.5125706, ""lon"": 22.4163888}]"
Unnamed Road,service,"[{""lat"": 37.5126822, ""lon"": 22.4153012}, {""lat"": 37.5125115, ""lon"": 22.4153149}]"
Unnamed Road,service,"[{""lat"": 37.5134619, ""lon"": 22.4173799}, {""lat"": 37.5134764, ""lon"": 22.4173477}, {""lat"": 37.5134856, ""lon"": 22.4173127}, {""lat"": 37.5134894, ""lon"": 22.417276}, {""lat"": 37.5134875, ""lon"": 22.4172391}, {""lat"": 37.5134806, ""lon"": 22.4172054}, {""lat"": 37.5134689, ""lon"": 22.4171738}, {""lat"": 37.513453, ""lon"": 22.4171454}, {""lat"": 37.5134332, ""lon"": 22.4171211}]"
Unnamed Road,service,"[{""lat"": 37.5134332, ""lon"": 22.4171211}, {""lat"": 37.5133338, ""lon"": 22.4171074}, {""lat"": 37.5132277, ""lon"": 22.4171033}, {""lat"": 37.5131215, ""lon"": 22.4171063}, {""lat"": 37.5129946, ""lon"": 22.4171191}, {""lat"": 37.5128685, ""lon"": 22.417142}, {""lat"": 37.5127439, ""lon"": 22.4171747}]"
Unnamed Road,service,"[{""lat"": 37.512713, ""lon"": 22.4173102}, {""lat"": 37.5126086, ""lon"": 22.4172702}]"
Unnamed Road,service,"[{""lat"": 37.5127439, ""lon"": 22.4171747}, {""lat"": 37.5127265, ""lon"": 22.417217}, {""lat"": 37.512716, ""lon"": 22.4172627}, {""lat"": 37.512713, ""lon"": 22.4173102}, {""lat"": 37.512717, ""lon"": 22.4173544}, {""lat"": 37.5127274, ""lon"": 22.4173969}, {""lat"": 37.5127439, ""lon"": 22.4174362}]"
Unnamed Road,service,"[{""lat"": 37.5134619, ""lon"": 22.4173799}, {""lat"": 37.5134111, ""lon"": 22.4174097}, {""lat"": 37.5133397, ""lon"": 22.4174442}, {""lat"": 37.5132662, ""lon"": 22.4174709}, {""lat"": 37.5131911, ""lon"": 22.4174898}, {""lat"": 37.5131151, ""lon"": 22.4175006}, {""lat"": 37.5130397, ""lon"": 22.4175034}, {""lat"": 37.5129643, ""lon"": 22.4174983}, {""lat"": 37.5128896, ""lon"": 22.4174853}, {""lat"": 37.5128159, ""lon"": 22.4174646}, {""lat"": 37.5127439, ""lon"": 22.4174362}]"
Unnamed Road,service,"[{""lat"": 37.5132513, ""lon"": 22.4161904}, {""lat"": 37.5132728, ""lon"": 22.4162293}, {""lat"": 37.513289, ""lon"": 22.4162721}, {""lat"": 37.5132997, ""lon"": 22.4163176}, {""lat"": 37.5133045, ""lon"": 22.4163647}, {""lat"": 37.5133022, ""lon"": 22.4164225}, {""lat"": 37.5132911, ""lon"": 22.4164786}, {""lat"": 37.5132715, ""lon"": 22.416531}]"
Unnamed Road,service,"[{""lat"": 37.5132715, ""lon"": 22.416531}, {""lat"": 37.513191, ""lon"": 22.4165507}, {""lat"": 37.5131012, ""lon"": 22.4165637}, {""lat"": 37.5130109, ""lon"": 22.4165699}, {""lat"": 37.5129237, ""lon"": 22.4165695}, {""lat"": 37.5128368, ""lon"": 22.4165628}, {""lat"": 37.5127503, ""lon"": 22.4165498}]"
Unnamed Road,service,"[{""lat"": 37.511898, ""lon"": 22.3622184}, {""lat"": 37.5119335, ""lon"": 22.362307}, {""lat"": 37.5118954, ""lon"": 22.362457}]"
Unnamed Road,service,"[{""lat"": 37.5132513, ""lon"": 22.4161904}, {""lat"": 37.5131778, ""lon"": 22.4161702}, {""lat"": 37.5131031, ""lon"": 22.4161586}, {""lat"": 37.5130279, ""lon"": 22.4161555}, {""lat"": 37.5129537, ""lon"": 22.4161609}, {""lat"": 37.5128802, ""lon"": 22.4161746}, {""lat"": 37.5128079, ""lon"": 22.4161966}, {""lat"": 37.5127375, ""lon"": 22.4162266}]"
Unnamed Road,service,"[{""lat"": 37.5108375, ""lon"": 22.4167737}, {""lat"": 37.5108609, ""lon"": 22.4167664}, {""lat"": 37.5124088, ""lon"": 22.4166772}, {""lat"": 37.5124247, ""lon"": 22.4166825}, {""lat"": 37.5124386, ""lon"": 22.4166919}, {""lat"": 37.5124513, ""lon"": 22.4167094}]"
Unnamed Road,service,"[{""lat"": 37.5124513, ""lon"": 22.4167094}, {""lat"": 37.5124582, ""lon"": 22.4167255}, {""lat"": 37.5124641, ""lon"": 22.4167623}, {""lat"": 37.5124832, ""lon"": 22.4171533}, {""lat"": 37.5125566, ""lon"": 22.418831}, {""lat"": 37.5125758, ""lon"": 22.4192736}, {""lat"": 37.5125715, ""lon"": 22.4193205}, {""lat"": 37.5125652, ""lon"": 22.419358}, {""lat"": 37.5125524, ""lon"": 22.4193916}]"
Unnamed Road,service,"[{""lat"": 37.5125524, ""lon"": 22.4193916}, {""lat"": 37.5125354, ""lon"": 22.4194171}, {""lat"": 37.5125141, ""lon"": 22.4194385}, {""lat"": 37.5124811, ""lon"": 22.4194573}, {""lat"": 37.5110322, ""lon"": 22.4195458}, {""lat"": 37.5109939, ""lon"": 22.4195371}, {""lat"": 37.5109716, ""lon"": 22.4195264}, {""lat"": 37.5109471, ""lon"": 22.4195069}, {""lat"": 37.5109285, ""lon"": 22.4194774}, {""lat"": 37.5109163, ""lon"": 22.4194063}, {""lat"": 37.5108801, ""lon"": 22.4185534}, {""lat"": 37.5108418, ""lon"": 22.4176267}, {""lat"": 37.5107992, ""lon"": 22.4168723}, {""lat"": 37.5107976, ""lon"": 22.4168455}, {""lat"": 37.5108008, ""lon"": 22.4168227}, {""lat"": 37.5108062, ""lon"": 22.4168066}, {""lat"": 37.5108131, ""lon"": 22.4167965}, {""lat"": 37.5108226, ""lon"": 22.4167831}, {""lat"": 37.5108375, ""lon"": 22.4167737}]"
Unnamed Road,service,"[{""lat"": 37.5132726, ""lon"": 22.4144509}, {""lat"": 37.5132954, ""lon"": 22.4144193}, {""lat"": 37.513313, ""lon"": 22.4143828}, {""lat"": 37.513325, ""lon"": 22.4143427}, {""lat"": 37.5133307, ""lon"": 22.4143006}, {""lat"": 37.51333, ""lon"": 22.4142578}, {""lat"": 37.5133225, ""lon"": 22.4142139}, {""lat"": 37.5133082, ""lon"": 22.4141727}, {""lat"": 37.5132877, ""lon"": 22.4141359}, {""lat"": 37.5132619, ""lon"": 22.4141049}]"
Unnamed Road,service,"[{""lat"": 37.5365477, ""lon"": 22.3882508}, {""lat"": 37.5365198, ""lon"": 22.3883291}, {""lat"": 37.5365036, ""lon"": 22.388396}, {""lat"": 37.5364981, ""lon"": 22.3884536}, {""lat"": 37.5365147, ""lon"": 22.3886347}, {""lat"": 37.5365053, ""lon"": 22.3888542}]"
Unnamed Road,service,"[{""lat"": 37.507324, ""lon"": 22.3511629}, {""lat"": 37.5072162, ""lon"": 22.3512004}, {""lat"": 37.5071029, ""lon"": 22.3512018}, {""lat"": 37.5070386, ""lon"": 22.3511917}, {""lat"": 37.5070093, ""lon"": 22.351177}, {""lat"": 37.5069774, ""lon"": 22.3511575}, {""lat"": 37.5069519, ""lon"": 22.3511314}, {""lat"": 37.5069274, ""lon"": 22.3510992}, {""lat"": 37.5068891, ""lon"": 22.351018}]"
Unnamed Road,service,"[{""lat"": 37.5070696, ""lon"": 22.3533958}, {""lat"": 37.5070737, ""lon"": 22.3534374}, {""lat"": 37.5070864, ""lon"": 22.3534977}, {""lat"": 37.5071386, ""lon"": 22.3536144}, {""lat"": 37.5071557, ""lon"": 22.3536607}, {""lat"": 37.5071758, ""lon"": 22.353715}, {""lat"": 37.5071907, ""lon"": 22.3537673}, {""lat"": 37.5071949, ""lon"": 22.3538116}, {""lat"": 37.507196, ""lon"": 22.3538478}, {""lat"": 37.5071907, ""lon"": 22.35388}, {""lat"": 37.5071758, ""lon"": 22.3539081}, {""lat"": 37.5071566, ""lon"": 22.3539242}, {""lat"": 37.5071311, ""lon"": 22.3539309}, {""lat"": 37.5071035, ""lon"": 22.3539336}, {""lat"": 37.5070662, ""lon"": 22.3539323}]"
