name,highway,coordinates
Unnamed Road,service,"[{""lat"": 37.5570154, ""lon"": 22.4039536}, {""lat"": 37.5567345, ""lon"": 22.4038294}, {""lat"": 37.5566771, ""lon"": 22.4037999}, {""lat"": 37.5564624, ""lon"": 22.4036095}, {""lat"": 37.5564092, ""lon"": 22.4035424}, {""lat"": 37.5563751, ""lon"": 22.4034888}, {""lat"": 37.5563433, ""lon"": 22.4033976}, {""lat"": 37.5562667, ""lon"": 22.4033171}, {""lat"": 37.5562072, ""lon"": 22.4032581}, {""lat"": 37.5561008, ""lon"": 22.4031669}, {""lat"": 37.5559286, ""lon"": 22.4030596}, {""lat"": 37.5558563, ""lon"": 22.403022}, {""lat"": 37.5558074, ""lon"": 22.4029899}, {""lat"": 37.5557564, ""lon"": 22.4029657}, {""lat"": 37.5557011, ""lon"": 22.402955}, {""lat"": 37.5556331, ""lon"": 22.4029496}, {""lat"": 37.5555884, ""lon"": 22.4029604}, {""lat"": 37.5555459, ""lon"": 22.4029738}, {""lat"": 37.5554523, ""lon"": 22.4029925}, {""lat"": 37.5553736, ""lon"": 22.4029925}, {""lat"": 37.5552971, ""lon"": 22.4029818}]"
Unnamed Road,residential,"[{""lat"": 37.5566048, ""lon"": 22.4007207}, {""lat"": 37.5566239, ""lon"": 22.4011177}, {""lat"": 37.5566261, ""lon"": 22.4013135}, {""lat"": 37.5566239, ""lon"": 22.4013886}, {""lat"": 37.5566005, ""lon"": 22.4014395}, {""lat"": 37.5565601, ""lon"": 22.4014905}, {""lat"": 37.556524, ""lon"": 22.4015173}, {""lat"": 37.5564836, ""lon"": 22.4015334}, {""lat"": 37.5564453, ""lon"": 22.4015549}, {""lat"": 37.5564092, ""lon"": 22.4015763}, {""lat"": 37.5563709, ""lon"": 22.4016193}, {""lat"": 37.5562933, ""lon"": 22.4017586}]"
Unnamed Road,service,"[{""lat"": 37.5553888, ""lon"": 22.3970196}, {""lat"": 37.5552439, ""lon"": 22.3969589}, {""lat"": 37.55511, ""lon"": 22.3969026}]"
Unnamed Road,residential,"[{""lat"": 37.5556343, ""lon"": 22.3917465}, {""lat"": 37.555661, ""lon"": 22.3919071}, {""lat"": 37.5556873, ""lon"": 22.3920416}, {""lat"": 37.5556992, ""lon"": 22.3921325}, {""lat"": 37.5557036, ""lon"": 22.3923511}]"
Unnamed Road,residential,"[{""lat"": 37.5571492, ""lon"": 22.3906733}, {""lat"": 37.5572425, ""lon"": 22.3905888}, {""lat"": 37.5573052, ""lon"": 22.3905365}, {""lat"": 37.5573297, ""lon"": 22.390503}, {""lat"": 37.5573371, ""lon"": 22.3904614}, {""lat"": 37.5573382, ""lon"": 22.3904145}, {""lat"": 37.5573339, ""lon"": 22.3903836}, {""lat"": 37.5572646, ""lon"": 22.390203}]"
Unnamed Road,track,"[{""lat"": 37.5578944, ""lon"": 22.3968637}, {""lat"": 37.5579678, ""lon"": 22.3965405}, {""lat"": 37.5579943, ""lon"": 22.396393}, {""lat"": 37.5580241, ""lon"": 22.3962481}, {""lat"": 37.558056, ""lon"": 22.3960952}, {""lat"": 37.5580677, ""lon"": 22.3960027}, {""lat"": 37.5580677, ""lon"": 22.3959799}, {""lat"": 37.5580773, ""lon"": 22.3957922}, {""lat"": 37.5581006, ""lon"": 22.3955883}, {""lat"": 37.5581198, ""lon"": 22.3954596}, {""lat"": 37.5581293, ""lon"": 22.3953845}, {""lat"": 37.5581347, ""lon"": 22.3952946}, {""lat"": 37.5581464, ""lon"": 22.395068}, {""lat"": 37.558191, ""lon"": 22.3948413}, {""lat"": 37.5582399, ""lon"": 22.3945101}, {""lat"": 37.5582442, ""lon"": 22.3943518}, {""lat"": 37.5582431, ""lon"": 22.3941573}, {""lat"": 37.5582346, ""lon"": 22.3939602}, {""lat"": 37.5582229, ""lon"": 22.393861}, {""lat"": 37.5582016, ""lon"": 22.3937765}, {""lat"": 37.5581719, ""lon"": 22.3937161}, {""lat"": 37.558106, ""lon"": 22.3936357}, {""lat"": 37.5580592, ""lon"": 22.3935807}, {""lat"": 37.5580113, ""lon"": 22.3934922}, {""lat"": 37.5579837, ""lon"": 22.3934224}, {""lat"": 37.5579699, ""lon"": 22.393354}, {""lat"": 37.5579416, ""lon"": 22.3932761}, {""lat"": 37.5579164, ""lon"": 22.3931858}]"
Unnamed Road,residential,"[{""lat"": 37.5569492, ""lon"": 22.3905352}, {""lat"": 37.5569376, ""lon"": 22.3903454}, {""lat"": 37.5569367, ""lon"": 22.3902241}, {""lat"": 37.5569579, ""lon"": 22.3901406}, {""lat"": 37.5570099, ""lon"": 22.3900777}, {""lat"": 37.5570545, ""lon"": 22.3900227}, {""lat"": 37.5571223, ""lon"": 22.3899083}, {""lat"": 37.5571697, ""lon"": 22.3898786}, {""lat"": 37.5572377, ""lon"": 22.3898491}, {""lat"": 37.5573821, ""lon"": 22.3898092}, {""lat"": 37.5574914, ""lon"": 22.3897524}, {""lat"": 37.5575535, ""lon"": 22.3897257}, {""lat"": 37.557645, ""lon"": 22.3897103}]"
Unnamed Road,service,"[{""lat"": 37.558123, ""lon"": 22.4026667}, {""lat"": 37.5580369, ""lon"": 22.4026707}, {""lat"": 37.557938, ""lon"": 22.4026479}, {""lat"": 37.5578678, ""lon"": 22.4026197}, {""lat"": 37.5577949, ""lon"": 22.4026063}, {""lat"": 37.5577572, ""lon"": 22.4025674}, {""lat"": 37.5576722, ""lon"": 22.4025366}, {""lat"": 37.5575712, ""lon"": 22.4025165}, {""lat"": 37.5573681, ""lon"": 22.4024883}, {""lat"": 37.557282, ""lon"": 22.4024735}, {""lat"": 37.5572235, ""lon"": 22.4024615}, {""lat"": 37.5571672, ""lon"": 22.4024427}, {""lat"": 37.5571279, ""lon"": 22.4024279}]"
Unnamed Road,service,"[{""lat"": 37.5577235, ""lon"": 22.402381}, {""lat"": 37.5577616, ""lon"": 22.4024367}, {""lat"": 37.5577829, ""lon"": 22.4024863}, {""lat"": 37.5577897, ""lon"": 22.4025253}, {""lat"": 37.5577896, ""lon"": 22.4025674}, {""lat"": 37.5577949, ""lon"": 22.4026063}]"
Unnamed Road,service,"[{""lat"": 37.5585497, ""lon"": 22.4031126}, {""lat"": 37.5585771, ""lon"": 22.4032362}, {""lat"": 37.5586197, ""lon"": 22.4033354}, {""lat"": 37.5586633, ""lon"": 22.4034065}, {""lat"": 37.5587075, ""lon"": 22.4034754}, {""lat"": 37.558733, ""lon"": 22.4035223}, {""lat"": 37.5587521, ""lon"": 22.403588}, {""lat"": 37.5587638, ""lon"": 22.4036591}, {""lat"": 37.5587758, ""lon"": 22.4037948}, {""lat"": 37.5587789, ""lon"": 22.4038602}, {""lat"": 37.5587555, ""lon"": 22.4039192}, {""lat"": 37.5587258, ""lon"": 22.4039528}, {""lat"": 37.5586694, ""lon"": 22.4039823}, {""lat"": 37.5586407, ""lon"": 22.403985}]"
